circuit_name,circuit_url,locality,country,latitude,longitude,scraped_at_utc
Prince George Circuit,https://en.wikipedia.org/wiki/Prince_George_Circuit,East London,South Africa,-33.04861,27.87361,2026-01-14T09:26:39.870876+00:00
Red Bull Ring,https://en.wikipedia.org/wiki/Red_Bull_Ring,Spielberg,Austria,47.21972,14.76472,2026-01-14T09:26:39.870876+00:00
Riverside International Raceway,https://en.wikipedia.org/wiki/Riverside_International_Raceway,Moreno Valley,United States,33.933389,-117.272278,2026-01-14T09:26:39.870876+00:00
Rouen-Les-Essarts,https://en.wikipedia.org/wiki/Rouen-Les-Essarts,Orival,France,49.330639,1.004583,2026-01-14T09:26:39.870876+00:00
Scandinavian Raceway,https://en.wikipedia.org/wiki/Anderstorp_Raceway,Anderstorp,Sweden,57.26417,13.60139,2026-01-14T09:26:39.870876+00:00
Sebring Raceway,https://en.wikipedia.org/wiki/Sebring_International_Raceway,Sebring,United States,27.455,-81.35,2026-01-14T09:26:39.870876+00:00
Sepang International Circuit,https://en.wikipedia.org/wiki/Sepang_International_Circuit,Sepang,Malaysia,2.76056,101.7375,2026-01-14T09:26:39.870876+00:00
Shanghai International Circuit,https://en.wikipedia.org/wiki/Shanghai_International_Circuit,Shanghai,China,31.33889,121.21972,2026-01-14T09:26:39.870876+00:00
Silverstone Circuit,https://en.wikipedia.org/wiki/Silverstone_Circuit,Silverstone,United Kingdom,52.071,-1.016,2026-01-14T09:26:39.870876+00:00
Sochi Autodrom,https://en.wikipedia.org/wiki/Sochi_Autodrom,Sochi,Russia,43.41028,39.9682722,2026-01-14T09:26:39.870876+00:00
Suzuka International Racing Course,https://en.wikipedia.org/wiki/Suzuka_International_Racing_Course,Suzuka,Japan,34.8417,136.5389,2026-01-14T09:26:39.870876+00:00
TI Circuit Aida,https://en.wikipedia.org/wiki/Okayama_International_Circuit,Mimasaka,Japan,34.915,134.22111,2026-01-14T09:26:39.870876+00:00
Valencia Street Circuit,https://en.wikipedia.org/wiki/Valencia_Street_Circuit,Valencia,Spain,39.458778,-0.32556,2026-01-14T09:26:39.870876+00:00
Watkins Glen International,https://en.wikipedia.org/wiki/Watkins_Glen_International,Watkins Glen,United States,42.337,-76.927,2026-01-14T09:26:39.870876+00:00
Yas Marina Circuit,https://en.wikipedia.org/wiki/Yas_Marina_Circuit,Abu Dhabi,United Arab Emirates,24.46722,54.60306,2026-01-14T09:26:39.870876+00:00
Zeltweg Airfield,https://en.wikipedia.org/wiki/Zeltweg_Airfield,Zeltweg,Austria,47.20222,14.74222,2026-01-14T09:26:39.870876+00:00
